station_key,obscd,name,date
ugong,11303201,Ugong,2024-09-29
rodriguez,11102201,Rodriguez,2024-12-06
san_juan,11203203,San Juan School,2024-12-06
san_mateo_1,11103201,San Mateo-1,2024-12-06
nangka,11103202,Nangka,2025-07-23
burgos,11102203,Burgos,2025-08-10
fort_santiago,11204202,Fort Santiago,2025-08-10
la_mesa_dam,11302201,La Mesa Dam,2025-08-10
mindanao,11203201,Mindanao,2025-08-10
montalban,11102202,Montalban,2025-08-10
nangka,11103202,Nangka,2025-08-10
napindan_2,11202201,Napindan-2,2025-10-23
pandacan,11204201,Pandacan,2025-10-23
quirino,11302202,Quirino,2025-10-23
rodriguez,11102201,Rodriguez,2025-10-23
rodriguez,11102201,Rodriguez,2025-11-30
rodriguez,11102201,Rodriguez,2025-12-15
san_juan,11203203,San Juan School,2025-12-15
san_mateo_1,11103201,San Mateo-1,2025-12-15
sto_nino,11104201,Sto Nino,2025-12-15
tumana,11103203,Tumana Bridge,2025-12-30
ugong,11303201,Ugong,2025-12-30
angono,11105201,Angono,2025-12-31
burgos,11102203,Burgos,2025-12-31
mindanao,11203201,Mindanao,2026-01-15
montalban,11102202,Montalban,2026-01-15
nangka,11103202,Nangka,2026-01-15
napindan_1,11201201,Napindan-1,2026-01-15
